journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
Integrated Pharmacy Research and Practice,2.1,JCR Q3 / CAS 4区,Q3,CAS 4区,222/352,PHARMACOLOGY & PHARMACY(ESCI),否,是,2025 CAS/JCR user table
Integrating Materials and Manufacturing Innovation,2.5,JCR Q3 / CAS 3区,Q3,CAS 3区,44/71,"ENGINEERING, MANUFACTURING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
INTEGRATION-THE VLSI JOURNAL,2.5,JCR Q2 / CAS 3区,Q2,CAS 3区,182/366,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",否,否,2025 CAS/JCR user table
INTEGRATIVE AND COMPARATIVE BIOLOGY,2.1,JCR Q1 / CAS 3区,Q1,CAS 3区,24/181,ZOOLOGY(SCIE),否,否,2025 CAS/JCR user table
Integrative Biology,1.4,JCR Q4 / CAS 4区,Q4,CAS 4区,190/204,CELL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
INTEGRATIVE CANCER THERAPIES,2.8,JCR Q2 / CAS 4区,Q2,CAS 4区,16/45,INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE);ONCOLOGY(SCIE),否,否,2025 CAS/JCR user table
Integrative Medicine Reports,0.5,JCR Q4,Q4,待核实,41/45,INTEGRATIVE & COMPLEMENTARY MEDICINE(ESCI),,,2025 CAS/JCR user table
Integrative Medicine Research,3.0,JCR Q2 / CAS 3区,Q2,CAS 3区,13/45,INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE),否,是,2025 CAS/JCR user table
Integrative Organismal Biology,1.9,JCR Q1 / CAS 2区,Q1,CAS 2区,35/181,BIOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE);ZOOLOGY(SCIE),否,是,2025 CAS/JCR user table
Integrative Psychological and Behavioral Science,1.1,JCR Q4 / CAS 4区,Q4,CAS 4区,14/18,"PSYCHOLOGY, BIOLOGICAL(SSCI)",否,否,2025 CAS/JCR user table
Integrative Zoology,3.7,JCR Q1 / CAS 1区,Q1,CAS 1区,7/181,ZOOLOGY(SCIE),是,否,2025 CAS/JCR user table
Inteligencia Artificial-Iberoamerical Journal of Artificial Intelligence,待核实,CAS 4区,待核实,CAS 4区,,,否,是,2025 CAS/JCR user table
Inteligencia Artificial-Iberoamerican Journal of Artificial Intelligence,3.7,JCR Q2,Q2,待核实,77/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",,,2025 CAS/JCR user table
Intellectual and Developmental Disabilities,1.6,JCR Q1 / CAS 4区,Q1,CAS 4区,14/62,"EDUCATION, SPECIAL(SSCI);REHABILITATION(SSCI)",否,否,2025 CAS/JCR user table
Intellectual Discourse,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(ESCI),否,否,2025 CAS/JCR user table
Intellectual History Review,0.5,JCR Q1,Q1,待核实,99/538,HISTORY(ESCI);HISTORY & PHILOSOPHY OF SCIENCE(ESCI);PHILOSOPHY(ESCI),,,2025 CAS/JCR user table
INTELLIGENCE,2.8,JCR Q1 / CAS 2区,Q1,CAS 2区,50/221,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",否,否,2025 CAS/JCR user table
Intelligence & Robotics,2.3,JCR Q2,Q2,待核实,42/89,"AUTOMATION & CONTROL SYSTEMS(ESCI);COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",,,2025 CAS/JCR user table
INTELLIGENCE AND NATIONAL SECURITY,0.8,JCR Q1 / CAS 3区,Q1,CAS 3区,35/538,HISTORY(SSCI);INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI),否,否,2025 CAS/JCR user table
Intelligent Buildings International,1.7,JCR Q3 / CAS 4区,Q3,CAS 4区,53/95,CONSTRUCTION & BUILDING TECHNOLOGY(ESCI),否,否,2025 CAS/JCR user table
Intelligent Computing,3.7,JCR Q1,Q1,待核实,34/147,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);COMPUTER SCIENCE, THEORY & METHODS(ESCI)",,,2025 CAS/JCR user table
Intelligent Data Analysis,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,186/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",否,否,2025 CAS/JCR user table
Intelligent Decision Technologies-Netherlands,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,186/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",否,否,2025 CAS/JCR user table
Intelligent Medicine,6.9,JCR Q1 / CAS 4区,Q1,CAS 4区,5/48,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);MEDICAL INFORMATICS(ESCI)",否,是,2025 CAS/JCR user table
Intelligent Service Robotics,4.3,JCR Q2 / CAS 4区,Q2,CAS 4区,17/48,ROBOTICS(SCIE),否,否,2025 CAS/JCR user table
Intelligent Systems in Accounting Finance & Management,3.7,JCR Q1 / CAS 3区,Q1,CAS 3区,51/241,"BUSINESS, FINANCE(ESCI)",否,否,2025 CAS/JCR user table
Intelligent Systems with Applications,4.3,JCR Q2,Q2,待核实,65/258,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",,,2025 CAS/JCR user table
Intelligenza Artificiale,1.4,JCR Q4 / CAS 4区,Q4,CAS 4区,159/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",否,否,2025 CAS/JCR user table
Intensive and Critical Care Nursing,4.7,JCR Q1 / CAS 2区,Q1,CAS 2区,3/192,"CRITICAL CARE MEDICINE(SCIE);NURSING(SCIE, SSCI)",否,否,2025 CAS/JCR user table
INTENSIVE CARE MEDICINE,21.2,JCR Q1 / CAS 1区,Q1,CAS 1区,2/62,CRITICAL CARE MEDICINE(SCIE),是,否,2025 CAS/JCR user table
Intensive Care Medicine Experimental,3.1,JCR Q2 / CAS 3区,Q2,CAS 3区,18/62,CRITICAL CARE MEDICINE(ESCI),否,是,2025 CAS/JCR user table
Intensivist,<0.1,JCR Q4,Q4,待核实,60/62,CRITICAL CARE MEDICINE(ESCI),,,2025 CAS/JCR user table
Inter-Asia Cultural Studies,0.4,JCR Q3 / CAS 4区,Q3,CAS 4区,38/64,"ANTHROPOLOGY(SSCI);ASIAN STUDIES(AHCI);CULTURAL STUDIES(AHCI, SSCI)",否,否,2025 CAS/JCR user table
Interaccion y Perspectiva,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,80/94,SOCIAL WORK(ESCI),否,否,2025 CAS/JCR user table
INTERACTING WITH COMPUTERS,1.3,JCR Q4 / CAS 4区,Q4,CAS 4区,20/24,"COMPUTER SCIENCE, CYBERNETICS(SCIE);ERGONOMICS(SSCI)",否,否,2025 CAS/JCR user table
Interaction Design and Architectures,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,464/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Interaction Studies,1.2,JCR Q2 / CAS 4区,Q2,CAS 4区,114/303,COMMUNICATION(SSCI);LINGUISTICS(SSCI),否,否,2025 CAS/JCR user table
Interactive Cardiovascular and Thoracic Surgery,2.1,JCR Q2,Q2,待核实,102/312,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RESPIRATORY SYSTEM(SCIE);SURGERY(SCIE),,,2025 CAS/JCR user table
Interactive Journal of Medical Research,2.2,JCR Q3 / CAS 4区,Q3,CAS 4区,109/195,"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)",否,是,2025 CAS/JCR user table
INTERACTIVE LEARNING ENVIRONMENTS,5.3,JCR Q1 / CAS 3区,Q1,CAS 3区,23/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),否,否,2025 CAS/JCR user table
Interactive Technology and Smart Education,5.6,JCR Q1 / CAS 3区,Q1,CAS 3区,18/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,否,2025 CAS/JCR user table
InterCambios-Dilemas y transiciones de la Educacion Superior,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,668/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
INTERCIENCIA,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,192/200,ECOLOGY(SCIE),否,否,2025 CAS/JCR user table
Intercultural Education,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,491/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,否,2025 CAS/JCR user table
Intercultural Pragmatics,1.8,JCR Q1 / CAS 1区,Q1,CAS 1区,66/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),是,否,2025 CAS/JCR user table
Interdisciplinaria,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,190/221,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Interdisciplinaria Archaeologica-Natural Sciences in Archaeology,0.3,JCR Q2 / CAS 4区,Q2,CAS 4区,176/538,"ANTHROPOLOGY(ESCI);ARCHAEOLOGY(ESCI);GEOSCIENCES, MULTIDISCIPLINARY(ESCI);HISTORY(ESCI)",否,是,2025 CAS/JCR user table
Interdisciplinary Cardiovascular and Thoracic Surgery,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,190/312,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);RESPIRATORY SYSTEM(SCIE);SURGERY(SCIE),否,否,2025 CAS/JCR user table
Interdisciplinary Description of Complex Systems,0.6,JCR Q3 / CAS 4区,Q3,CAS 4区,162/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
Interdisciplinary Journal for Religion and Transformation in Contemporary Society,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(ESCI),否,是,2025 CAS/JCR user table
Interdisciplinary Journal of Management Studies,N/A,JCR N/A,N/A,待核实,N/A,MANAGEMENT(ESCI),,,2025 CAS/JCR user table
Interdisciplinary Journal of Problem-Based Learning,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,608/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
Interdisciplinary Literary Studies,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LITERARY THEORY & CRITICISM(ESCI),否,否,2025 CAS/JCR user table
Interdisciplinary Materials,31.6,JCR Q1 / CAS 1区,Q1,CAS 1区,9/460,"CHEMISTRY, PHYSICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);PHYSICS, APPLIED(ESCI)",是,是,2025 CAS/JCR user table
Interdisciplinary Medicine,13.6,JCR Q1,Q1,待核实,5/195,"MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)",,,2025 CAS/JCR user table
Interdisciplinary Neurosurgery-Advanced Techniques and Case Management,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,270/285,CLINICAL NEUROLOGY(ESCI),否,是,2025 CAS/JCR user table
INTERDISCIPLINARY SCIENCE REVIEWS,1.1,JCR Q2 / CAS 4区,Q2,CAS 4区,122/271,"MULTIDISCIPLINARY SCIENCES(SCIE);SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",否,否,2025 CAS/JCR user table
Interdisciplinary Sciences-Computational Life Sciences,3.9,JCR Q1 / CAS 2区,Q1,CAS 2区,9/67,MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Interdisciplinary Studies of Complex Systems,0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,124/135,MULTIDISCIPLINARY SCIENCES(ESCI),否,否,2025 CAS/JCR user table
Interdisciplinary Studies of Literature,0.2,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LITERATURE(AHCI),否,否,2025 CAS/JCR user table
Interest Groups & Advocacy,1.5,JCR Q2 / CAS 3区,Q2,CAS 3区,145/322,POLITICAL SCIENCE(ESCI),否,否,2025 CAS/JCR user table
Interface Focus,4.0,JCR Q1 / CAS 3区,Q1,CAS 3区,18/107,BIOLOGY(SCIE),否,否,2025 CAS/JCR user table
Interface-Comunicacao Saude Educacao,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,395/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",否,是,2025 CAS/JCR user table
INTERFACES AND FREE BOUNDARIES,1.0,JCR Q2 / CAS 3区,Q2,CAS 3区,129/483,"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,是,2025 CAS/JCR user table
Interfacial Phenomena and Heat Transfer,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,71/79,THERMODYNAMICS(ESCI),否,否,2025 CAS/JCR user table
Interiors-Design Architecture Culture,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,ARCHITECTURE(AHCI),否,否,2025 CAS/JCR user table
Interlitteraria,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,LITERATURE(ESCI),否,是,2025 CAS/JCR user table
Intermedialites,<0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,否,2025 CAS/JCR user table
INTERMETALLICS,4.8,JCR Q1 / CAS 2区,Q1,CAS 2区,15/96,"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);METALLURGY & METALLURGICAL ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
Internal and Emergency Medicine,3.8,JCR Q1 / CAS 3区,Q1,CAS 3区,50/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,否,2025 CAS/JCR user table
Internal Medicine,1.1,JCR Q2 / CAS 4区,Q2,CAS 4区,164/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,否,2025 CAS/JCR user table
INTERNAL MEDICINE JOURNAL,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,135/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",否,否,2025 CAS/JCR user table
INTERNASJONAL POLITIKK,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,262/322,INTERNATIONAL RELATIONS(SSCI);POLITICAL SCIENCE(SSCI),否,是,2025 CAS/JCR user table
International & Comparative Law Quarterly,2.0,JCR Q1 / CAS 2区,Q1,CAS 2区,48/434,LAW(SSCI),否,否,2025 CAS/JCR user table
International Advances in Economic Research,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,460/617,ECONOMICS(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL AFFAIRS,4.0,JCR Q1 / CAS 1区,Q1,CAS 1区,7/169,INTERNATIONAL RELATIONS(SSCI),是,否,2025 CAS/JCR user table
International Agrophysics,1.7,JCR Q2 / CAS 4区,Q2,CAS 4区,62/129,AGRONOMY(SCIE),否,是,2025 CAS/JCR user table
International and Multidisciplinary Journal of Social Sciences-RIMCIS,1.1,JCR Q2 / CAS 4区,Q2,CAS 4区,122/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
INTERNATIONAL ANESTHESIOLOGY CLINICS,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,50/68,ANESTHESIOLOGY(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL ANGIOLOGY,1.4,JCR Q4 / CAS 4区,Q4,CAS 4区,79/98,PERIPHERAL VASCULAR DISEASE(SCIE),否,否,2025 CAS/JCR user table
INTERNATIONAL APPLIED MECHANICS,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,153/171,MECHANICS(ESCI),否,否,2025 CAS/JCR user table
International Arab Journal of Information Technology,1.1,JCR Q4 / CAS 4区,Q4,CAS 4区,199/258,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",否,否,2025 CAS/JCR user table
INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,26/39,ALLERGY(SCIE);IMMUNOLOGY(SCIE),否,否,2025 CAS/JCR user table
International Archives of Health Sciences,0.2,JCR Q4 / CAS 4区,Q4,CAS 4区,410/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",否,是,2025 CAS/JCR user table
INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH,2.4,JCR Q2 / CAS 3区,Q2,CAS 3区,157/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",否,否,2025 CAS/JCR user table
International Archives of Otorhinolaryngology,1.1,JCR Q3 / CAS 4区,Q3,CAS 4区,46/67,OTORHINOLARYNGOLOGY(ESCI),否,是,2025 CAS/JCR user table
International Area Studies Review,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,109/169,INTERNATIONAL RELATIONS(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL BIODETERIORATION & BIODEGRADATION,4.1,JCR Q2 / CAS 3区,Q2,CAS 3区,48/177,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);ENVIRONMENTAL SCIENCES(SCIE),否,否,2025 CAS/JCR user table
International Braz J Urol,4.5,JCR Q1 / CAS 3区,Q1,CAS 3区,16/133,UROLOGY & NEPHROLOGY(SCIE),否,是,2025 CAS/JCR user table
International Breastfeeding Journal,2.8,JCR Q1 / CAS 2区,Q1,CAS 2区,29/191,OBSTETRICS & GYNECOLOGY(SCIE);PEDIATRICS(SCIE),否,是,2025 CAS/JCR user table
International Bulletin of Mission Research,0.3,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,RELIGION(ESCI),否,否,2025 CAS/JCR user table
International Business Review,6.1,JCR Q1 / CAS 2区,Q1,CAS 2区,67/420,BUSINESS(SSCI);MANAGEMENT(SSCI),是,否,2025 CAS/JCR user table
International Cancer Conference Journal,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,306/326,ONCOLOGY(ESCI),否,否,2025 CAS/JCR user table
International Cardiovascular Research Journal,<0.1,JCR Q4 / CAS 4区,Q4,CAS 4区,228/230,CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,2.5,JCR Q2 / CAS 4区,Q2,CAS 4区,130/288,PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE),否,否,2025 CAS/JCR user table
International Communication Gazette,1.4,JCR Q2 / CAS 3区,Q2,CAS 3区,111/227,COMMUNICATION(SSCI),否,否,2025 CAS/JCR user table
International Communication of Chinese Culture,0.6,JCR Q2 / CAS 4区,Q2,CAS 4区,86/182,AREA STUDIES(ESCI);ASIAN STUDIES(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,6.4,JCR Q1 / CAS 2区,Q1,CAS 2区,11/171,MECHANICS(SCIE);THERMODYNAMICS(SCIE),是,否,2025 CAS/JCR user table
International Community Law Review,0.4,JCR Q3 / CAS 4区,Q3,CAS 4区,250/434,LAW(ESCI),否,否,2025 CAS/JCR user table
International Criminal Justice Review,0.7,JCR Q4 / CAS 4区,Q4,CAS 4区,91/111,CRIMINOLOGY & PENOLOGY(ESCI),否,否,2025 CAS/JCR user table
International Criminal Law Review,0.5,JCR Q3 / CAS 3区,Q3,CAS 3区,225/434,LAW(ESCI),否,否,2025 CAS/JCR user table
International Critical Thought,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,214/322,POLITICAL SCIENCE(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL DAIRY JOURNAL,3.4,JCR Q2 / CAS 2区,Q2,CAS 2区,72/181,FOOD SCIENCE & TECHNOLOGY(SCIE),否,否,2025 CAS/JCR user table
International Data Privacy Law,1.9,JCR Q1 / CAS 3区,Q1,CAS 3区,53/434,LAW(SSCI),否,否,2025 CAS/JCR user table
INTERNATIONAL DENTAL JOURNAL,3.7,JCR Q1 / CAS 2区,Q1,CAS 2区,21/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",否,是,2025 CAS/JCR user table
INTERNATIONAL DEVELOPMENT PLANNING REVIEW,1.5,JCR Q3 / CAS 3区,Q3,CAS 3区,36/65,DEVELOPMENT STUDIES(SSCI);REGIONAL & URBAN PLANNING(SSCI),否,否,2025 CAS/JCR user table
International E-Journal of Criminal Sciences,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,102/111,CRIMINOLOGY & PENOLOGY(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL ECONOMIC JOURNAL,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,349/617,ECONOMICS(ESCI),否,否,2025 CAS/JCR user table
INTERNATIONAL ECONOMIC REVIEW,1.3,JCR Q3 / CAS 3区,Q3,CAS 3区,332/617,ECONOMICS(SSCI),否,否,2025 CAS/JCR user table
INTERNATIONAL ECONOMICS AND ECONOMIC POLICY,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,293/617,ECONOMICS(ESCI),否,否,2025 CAS/JCR user table
International Education Journal-Comparative Perspectives,0.7,JCR Q3 / CAS 4区,Q3,CAS 4区,518/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,否,2025 CAS/JCR user table
International Electronic Journal of Algebra,0.3,JCR Q4 / CAS 4区,Q4,CAS 4区,432/483,MATHEMATICS(ESCI),否,是,2025 CAS/JCR user table
International Electronic Journal of Geometry,0.8,JCR Q2 / CAS 4区,Q2,CAS 4区,193/483,MATHEMATICS(ESCI),否,否,2025 CAS/JCR user table
International Electronic Journal of Mathematics Education,0.6,JCR Q3 / CAS 4区,Q3,CAS 4区,555/756,"EDUCATION & EDUCATIONAL RESEARCH(ESCI);EDUCATION, SCIENTIFIC DISCIPLINES(ESCI)",否,否,2025 CAS/JCR user table
International Emergency Nursing,2.0,JCR Q2 / CAS 4区,Q2,CAS 4区,64/192,"NURSING(SCIE, SSCI)",否,否,2025 CAS/JCR user table
INTERNATIONAL ENDODONTIC JOURNAL,7.1,JCR Q1 / CAS 1区,Q1,CAS 1区,3/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",是,否,2025 CAS/JCR user table
International Energy Journal,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,179/182,ENERGY & FUELS(ESCI),否,否,2025 CAS/JCR user table
International Entrepreneurship and Management Journal,3.9,JCR Q2 / CAS 2区,Q2,CAS 2区,136/420,BUSINESS(SSCI);MANAGEMENT(SSCI),否,否,2025 CAS/JCR user table
International Environmental Agreements-Politics Law and Economics,3.1,JCR Q1 / CAS 3区,Q1,CAS 3区,14/434,ECONOMICS(SSCI);ENVIRONMENTAL STUDIES(SSCI);LAW(SSCI);POLITICAL SCIENCE(SSCI),否,否,2025 CAS/JCR user table
International Feminist Journal of Politics,1.9,JCR Q1 / CAS 2区,Q1,CAS 2区,14/70,POLITICAL SCIENCE(SSCI);WOMENS STUDIES(SSCI),否,否,2025 CAS/JCR user table
International Finance,1.5,JCR Q2 / CAS 4区,Q2,CAS 4区,293/617,"BUSINESS, FINANCE(SSCI);ECONOMICS(SSCI)",否,否,2025 CAS/JCR user table
International Food and Agribusiness Management Review,1.5,JCR Q3 / CAS 4区,Q3,CAS 4区,22/43,AGRICULTURAL ECONOMICS & POLICY(SCIE),否,是,2025 CAS/JCR user table
International Food Research Journal,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,152/181,FOOD SCIENCE & TECHNOLOGY(SCIE),否,否,2025 CAS/JCR user table
INTERNATIONAL FORESTRY REVIEW,0.9,JCR Q3 / CAS 4区,Q3,CAS 4区,59/92,FORESTRY(SCIE),否,否,2025 CAS/JCR user table
International Forum of Allergy & Rhinology,6.8,JCR Q1 / CAS 2区,Q1,CAS 2区,1/67,OTORHINOLARYNGOLOGY(SCIE),否,否,2025 CAS/JCR user table
International Forum of Psychoanalysis,0.4,JCR Q2 / CAS 4区,Q2,CAS 4区,11/22,"PSYCHOLOGY, PSYCHOANALYSIS(ESCI)",否,否,2025 CAS/JCR user table
International Gambling Studies,1.8,JCR Q3 / CAS 3区,Q3,CAS 3区,41/58,SUBSTANCE ABUSE(SSCI),否,否,2025 CAS/JCR user table
International Game Theory Review,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,120/136,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,否,2025 CAS/JCR user table
INTERNATIONAL GEOLOGY REVIEW,1.9,JCR Q1 / CAS 4区,Q1,CAS 4区,12/61,GEOLOGY(SCIE),否,否,2025 CAS/JCR user table
International Health,2.2,JCR Q2 / CAS 4区,Q2,CAS 4区,183/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",否,否,2025 CAS/JCR user table
International Heart Journal,1.3,JCR Q3 / CAS 4区,Q3,CAS 4区,167/230,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE),否,否,2025 CAS/JCR user table
INTERNATIONAL HISTORY REVIEW,0.3,JCR Q2 / CAS 2区,Q2,CAS 2区,176/538,HISTORY(AHCI),否,否,2025 CAS/JCR user table
INTERNATIONAL IMMUNOLOGY,3.2,JCR Q2 / CAS 4区,Q2,CAS 4区,87/183,IMMUNOLOGY(SCIE),否,否,2025 CAS/JCR user table
International Immunopharmacology,4.7,JCR Q1 / CAS 2区,Q1,CAS 2区,54/352,IMMUNOLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE),否,否,2025 CAS/JCR user table
International Indigenous Policy Journal,1.0,JCR Q2 / CAS 4区,Q2,CAS 4区,63/141,"ANTHROPOLOGY(ESCI);SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
International Insolvency Review,0.3,JCR Q3 / CAS 4区,Q3,CAS 4区,278/434,"BUSINESS, FINANCE(SSCI);LAW(SSCI)",否,否,2025 CAS/JCR user table
INTERNATIONAL INTERACTIONS,1.4,JCR Q2 / CAS 2区,Q2,CAS 2区,73/169,INTERNATIONAL RELATIONS(SSCI),否,否,2025 CAS/JCR user table
INTERNATIONAL JOURNAL,2.3,JCR Q1 / CAS 3区,Q1,CAS 3区,38/169,INTERNATIONAL RELATIONS(SSCI),否,否,2025 CAS/JCR user table
International Journal for Academic Development,1.4,JCR Q2 / CAS 4区,Q2,CAS 4区,326/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),否,否,2025 CAS/JCR user table
International Journal for Computational Methods in Engineering Science & Mechanics,1.4,JCR Q3 / CAS 4区,Q3,CAS 4区,123/171,MECHANICS(ESCI),否,否,2025 CAS/JCR user table
International Journal for Crime Justice and Social Democracy,1.5,JCR Q2 / CAS 3区,Q2,CAS 3区,46/111,CRIMINOLOGY & PENOLOGY(ESCI),否,是,2025 CAS/JCR user table
International Journal for Educational and Vocational Guidance,1.7,JCR Q2 / CAS 4区,Q2,CAS 4区,260/756,"EDUCATION & EDUCATIONAL RESEARCH(SSCI);PSYCHOLOGY, APPLIED(SSCI)",否,否,2025 CAS/JCR user table
International Journal for Educational Integrity,6.9,JCR Q1 / CAS 2区,Q1,CAS 2区,11/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),否,是,2025 CAS/JCR user table
